AGE GROUP,2014,2015,2016,2017,2018,2019,2020,TOTAL
14-BELOW,3,1,0,8,0,5,,17
15 - 19,1819,2235,3105,2525,1915,312,36,11947
20 - 24,1943,3134,3951,3829,4220,3427,520,21024
25 - 29,314,464,668,995,820,729,151,4141
30 - 34,122,191,193,237,295,264,65,1367
35 - 39,51,104,110,144,192,233,41,875
40 - 44,39,58,81,77,100,142,23,520
45 - 49,16,57,39,96,120,84,16,428
50 - 54,21,15,25,38,36,27,6,168
55 - 59,9,23,14,15,10,16,2,89
60 - 64,5,4,3,6,3,0,,21
65 - 69,0,1,1,1,1,0,,4
70 - ABOVE,0,0,0,0,0,0,,0
Not Reported / No Response,0,0,2,0,0,0,5,7
Total,4342,6287,8192,7971,7712,5239,865,40608
