CATEGORY,2014,2015,2016,2017,2018,2019,2020,TOTAL
Student/ Masters,71,109,99,138,146,79,21,663
Trainee,331,520,923,1319,981,713,95,4882
Teacher,122,210,301,433,767,922,201,2956
Professor,0,0,0,1,1,3,1,6
International Visitor,64,83,77,91,81,92,11,499
Alien Physician,28,16,30,25,32,18,20,169
Government Visitor,0,0,0,65,41,44,1,151
Research Scholar,33,54,70,55,44,39,8,303
Short-term Scholar,23,56,51,54,41,36,11,272
Religious Worker,0,0,0,0,0,0,0,0
Others,3,0,66,45,0,0,0,114
Au Pair,17,36,80,93,111,2,1,340
Camp Counselor,2,2,1,14,22,46,0,87
Intern,1070,1340,1554,1620,1982,1964,370,9900
Secondary School Student,30,34,30,27,32,31,0,184
Summer Work and Travel,2491,3787,4830,3982,3414,1215,123,19842
Specialist,9,20,20,9,17,12,1,88
No Response / Not Reported,48,20,60,0,0,23,1,152
Total,4342,6287,8192,7971,7712,5239,865,40608
