Month,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
January,28,47,15,17,72,174,203,186,273,235,263,299,252,171
February,150,364,283,310,375,841,760,561,1174,448,564,251,269,252
March,362,297,546,477,654,771,1366,1995,2653,3856,2609,2299,1011,135
April,35,54,36,88,251,305,288,307,509,1100,728,826,456,
May,88,66,67,77,171,244,190,321,271,383,1178,1190,728,
June,81,69,38,66,84,99,153,170,134,385,434,490,418,
July,106,94,12,43,49,57,68,77,215,272,379,472,398,19
August,101,47,26,43,87,93,106,153,268,360,518,532,577,4
September,36,20,29,62,87,112,123,139,177,269,335,261,368,4
October,48,27,15,43,41,132,123,125,199,262,285,373,359,3
November,22,22,20,44,88,86,107,173,143,330,330,333,192,57
December,8,27,14,33,96,129,84,135,271,292,348,386,211,220
Total,1065,1134,1101,1303,2055,3043,3571,4342,6287,8192,7971,7712,5239,865
